                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.8594,                 1.9992,                 1.8055,                0.58318,                0.51794,                0.52088,                0.26169,                 1.8593,                 1.7803,                  1.875,              0.0089407,              0.0089407,              0.0089407
                    109,                  1.863,                 2.0137,                 1.8038,                0.58434,                0.52386,                0.52196,                 0.2626,                 1.8593,                 1.7806,                 1.8739,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.8607,                 1.9972,                 1.7979,                0.58987,                0.52289,                0.52293,                0.26399,                 1.8599,                 1.7808,                 1.8736,              0.0089209,              0.0089209,              0.0089209
                    111,                  1.861,                 2.0008,                 1.8015,                0.58767,                0.52218,                0.52166,                0.26226,                 1.8609,                 1.7812,                 1.8748,               0.008911,               0.008911,               0.008911
                    112,                 1.8544,                 1.9947,                 1.7914,                 0.5888,                0.51622,                0.52032,                0.26116,                 1.8603,                 1.7792,                 1.8731,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.8543,                 1.9989,                 1.7914,                0.59726,                0.51646,                0.52075,                0.26153,                 1.8596,                 1.7788,                  1.872,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.8421,                 2.0009,                  1.788,                0.59942,                0.51694,                0.52175,                0.26212,                  1.858,                 1.7765,                 1.8701,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.8572,                 1.9991,                  1.798,                0.59678,                0.51694,                0.52223,                0.26296,                 1.8578,                 1.7741,                 1.8697,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.8509,                 2.0095,                 1.7936,                0.59646,                0.52222,                0.52443,                 0.2616,                 1.8566,                 1.7728,                 1.8679,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.8437,                 1.9832,                 1.7813,                0.60056,                0.52511,                0.52461,                0.26399,                 1.8561,                 1.7726,                 1.8669,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.8518,                 1.9672,                  1.784,                0.59937,                 0.5258,                0.52546,                0.26475,                 1.8562,                 1.7717,                  1.867,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.8533,                 1.9804,                 1.7872,                0.59273,                0.52276,                0.52521,                0.26449,                 1.8555,                 1.7709,                  1.866,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.8423,                   1.96,                 1.7786,                0.59069,                0.52378,                0.52518,                0.26416,                 1.8544,                 1.7699,                 1.8651,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.8385,                 1.9593,                 1.7756,                0.59716,                0.50374,                0.52553,                0.26392,                 1.8539,                 1.7694,                 1.8643,               0.008812,               0.008812,               0.008812
                    122,                 1.8407,                  1.954,                 1.7717,                0.60111,                0.51054,                0.52432,                0.26299,                 1.8527,                 1.7673,                 1.8625,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.8389,                 1.9544,                 1.7762,                0.59657,                0.51037,                0.52736,                0.26504,                 1.8522,                  1.765,                 1.8613,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.8407,                 1.9685,                 1.7795,                0.59077,                0.51049,                0.52839,                 0.2666,                 1.8519,                 1.7624,                 1.8619,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.8313,                 1.9598,                 1.7649,                 0.6003,                0.51307,                0.52999,                0.26734,                 1.8526,                 1.7619,                 1.8615,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.8389,                 1.9584,                 1.7787,                0.59211,                0.52897,                0.52951,                0.26712,                 1.8525,                 1.7613,                 1.8614,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.8299,                 1.9448,                 1.7729,                0.59288,                0.52933,                0.52961,                0.26748,                 1.8523,                 1.7596,                 1.8602,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.8324,                 1.9458,                 1.7645,                0.58851,                0.53065,                0.52946,                0.26752,                 1.8527,                  1.758,                 1.8608,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.8286,                 1.9407,                 1.7559,                0.58908,                0.53122,                0.52703,                0.26636,                 1.8521,                 1.7577,                 1.8601,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.8295,                 1.9283,                 1.7613,                 0.5899,                0.52966,                0.52793,                0.26819,                 1.8519,                 1.7566,                 1.8606,              0.0087229,              0.0087229,              0.0087229
                    131,                  1.828,                 1.9327,                 1.7541,                0.59733,                0.53041,                0.52852,                0.26735,                 1.8519,                 1.7554,                   1.86,               0.008713,               0.008713,               0.008713
                    132,                 1.8223,                 1.9232,                 1.7521,                0.59886,                0.53137,                0.53034,                0.26827,                 1.8521,                 1.7547,                 1.8603,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.8234,                 1.9249,                 1.7578,                0.60147,                0.53125,                0.53255,                0.26932,                 1.8527,                 1.7527,                 1.8603,              0.0086932,              0.0086932,              0.0086932
