                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
124,1.5779,1.5079,1.6875,0.7347,0.58327,0.62187,0.34296,1.7384,1.5164,1.8897,0.0075646,0.0075646,0.0075646
125,1.5649,1.4952,1.6687,0.73551,0.58329,0.62403,0.3427,1.7379,1.5146,1.8891,0.0075448,0.0075448,0.0075448
126,1.566,1.4944,1.6744,0.75402,0.5814,0.62549,0.34405,1.7378,1.5135,1.8894,0.007525,0.007525,0.007525
127,1.5574,1.4753,1.6599,0.73952,0.58107,0.62427,0.34401,1.7382,1.5125,1.8893,0.0075052,0.0075052,0.0075052
128,1.5595,1.4713,1.6632,0.7034,0.59995,0.62434,0.34305,1.7385,1.5131,1.8897,0.0074854,0.0074854,0.0074854
129,1.558,1.4576,1.6702,0.70758,0.59764,0.62469,0.34589,1.738,1.5118,1.8893,0.0074656,0.0074656,0.0074656
130,1.5426,1.4683,1.6564,0.72159,0.59785,0.62547,0.34894,1.7382,1.5099,1.8897,0.0074458,0.0074458,0.0074458
131,1.5551,1.4673,1.6571,0.72438,0.59651,0.62535,0.34959,1.7389,1.5094,1.89,0.007426,0.007426,0.007426
132,1.554,1.4559,1.6576,0.72527,0.59585,0.62776,0.35136,1.7375,1.5084,1.8892,0.0074062,0.0074062,0.0074062
133,1.5496,1.4309,1.6542,0.72773,0.59614,0.62809,0.35065,1.737,1.5084,1.8887,0.0073864,0.0073864,0.0073864
134,1.5414,1.4349,1.6428,0.72635,0.59585,0.62787,0.34935,1.7366,1.5071,1.8885,0.0073666,0.0073666,0.0073666
135,1.548,1.4308,1.6546,0.74665,0.60736,0.64083,0.35008,1.7358,1.5056,1.8874,0.0073468,0.0073468,0.0073468
136,1.5383,1.4432,1.6483,0.74597,0.60705,0.641,0.3517,1.7369,1.5059,1.8884,0.007327,0.007327,0.007327
137,1.5394,1.4258,1.6455,0.7434,0.60694,0.64091,0.35111,1.7364,1.5042,1.888,0.0073072,0.0073072,0.0073072
138,1.5346,1.4184,1.6421,0.74116,0.60722,0.6412,0.35095,1.7355,1.5033,1.8871,0.0072874,0.0072874,0.0072874
139,1.5311,1.4117,1.6358,0.7374,0.61078,0.64122,0.35208,1.7358,1.5015,1.8869,0.0072676,0.0072676,0.0072676
140,1.5195,1.4069,1.6332,0.7349,0.60463,0.63839,0.35117,1.7355,1.5022,1.8868,0.0072478,0.0072478,0.0072478
141,1.519,1.3987,1.6276,0.7284,0.6103,0.64029,0.35075,1.7349,1.501,1.8857,0.007228,0.007228,0.007228
142,1.5188,1.3886,1.6214,0.7117,0.61882,0.63903,0.35074,1.7342,1.4993,1.8853,0.0072082,0.0072082,0.0072082
143,1.5216,1.3904,1.6259,0.71193,0.61849,0.63952,0.35113,1.7341,1.4987,1.8852,0.0071884,0.0071884,0.0071884
144,1.5191,1.3951,1.6225,0.71095,0.61915,0.64088,0.35159,1.7339,1.498,1.885,0.0071686,0.0071686,0.0071686
145,1.5112,1.4012,1.6185,0.71244,0.61879,0.64184,0.35117,1.7337,1.4955,1.8848,0.0071488,0.0071488,0.0071488
146,1.5019,1.3594,1.6147,0.70296,0.62511,0.64269,0.35127,1.733,1.4959,1.8843,0.007129,0.007129,0.007129
147,1.5133,1.3854,1.6271,0.6975,0.63276,0.64486,0.35046,1.7322,1.4929,1.8835,0.0071092,0.0071092,0.0071092
148,1.5007,1.355,1.6121,0.70014,0.63116,0.64316,0.3493,1.7321,1.4908,1.8833,0.0070894,0.0070894,0.0070894
149,1.507,1.3713,1.6196,0.70005,0.63073,0.64386,0.34847,1.7318,1.4905,1.8829,0.0070696,0.0070696,0.0070696
150,1.5001,1.3555,1.6131,0.7001,0.63192,0.64427,0.35018,1.7328,1.4896,1.8835,0.0070498,0.0070498,0.0070498
151,1.4914,1.3434,1.6022,0.69306,0.63631,0.64551,0.35408,1.7322,1.4872,1.8831,0.00703,0.00703,0.00703
152,1.4934,1.3575,1.604,0.69464,0.63584,0.64491,0.35202,1.7322,1.4889,1.8828,0.0070102,0.0070102,0.0070102
153,1.4943,1.3378,1.6012,0.69755,0.63359,0.64607,0.35409,1.7325,1.4866,1.8829,0.0069904,0.0069904,0.0069904
154,1.4835,1.3446,1.5975,0.70251,0.62553,0.64555,0.3543,1.7318,1.4859,1.8827,0.0069706,0.0069706,0.0069706
155,1.4849,1.3289,1.5904,0.70407,0.62517,0.64667,0.35421,1.7313,1.4859,1.8822,0.0069508,0.0069508,0.0069508
156,1.477,1.3143,1.5891,0.70107,0.63038,0.64705,0.35494,1.7322,1.4845,1.883,0.006931,0.006931,0.006931
157,1.4753,1.3277,1.5886,0.7098,0.62122,0.65369,0.3555,1.7314,1.4831,1.8816,0.0069112,0.0069112,0.0069112
158,1.4756,1.3443,1.5925,0.71638,0.62179,0.6544,0.35609,1.7315,1.4832,1.8812,0.0068914,0.0068914,0.0068914
159,1.4643,1.3095,1.5822,0.71835,0.62277,0.6551,0.35616,1.7315,1.4823,1.8809,0.0068716,0.0068716,0.0068716
160,1.4686,1.3229,1.5856,0.72004,0.62234,0.65524,0.35571,1.7311,1.4821,1.8807,0.0068518,0.0068518,0.0068518
161,1.4711,1.3252,1.5941,0.72197,0.62569,0.65495,0.35431,1.7315,1.4806,1.8826,0.006832,0.006832,0.006832
162,1.4677,1.3144,1.5742,0.72068,0.62658,0.65749,0.35487,1.7318,1.4776,1.8823,0.0068122,0.0068122,0.0068122
163,1.4611,1.297,1.5762,0.71861,0.62789,0.65787,0.35392,1.7335,1.4759,1.8828,0.0067924,0.0067924,0.0067924
